 Fecha     Demand Temperature Workday
31.714286 263.3148         9.8       1
31.857143 227.5769        13.4       0
32.000000 221.6350        14.2       0
32.142857 256.6197        15.2       1
32.285714 250.4816        16.5       1
32.428571 246.8155        15.9       1
32.571429 252.0098        13.6       1
32.714286 243.5690        15.9       1
32.857143 217.1874        14.6       0
33.000000 212.9136        13.6       0
33.142857 261.0586        12.7       1
33.285714 262.4751        12.7       1
33.428571 253.5156        14.5       1
33.571429 249.8530        14.8       1
33.714286 244.9549        16.9       1
33.857143 221.1463        13.3       0
34.000000 210.5977        15.7       0
34.142857 250.2505        13.6       1
34.285714 248.2650        13.3       1
34.428571 247.3034        13.3       1
34.571429 242.7937        17.4       1
34.714286 231.1652        20.6       1
34.857143 202.5800        19.9       0
35.000000 200.8607        16.3       0
35.142857 239.1268        16.1       1
35.285714 236.9323        18.7       1
35.428571 233.0740        19.5       1
35.571429 233.1221        20.0       1
35.714286 233.8208        15.0       1
35.857143 193.0105        21.0       0
36.000000 189.3291        21.0       0
36.142857 236.2696        17.8       1
36.285714 238.2240        16.1       1
36.428571 241.4517        14.8       1
36.571429 241.7054        15.9       1
36.714286 233.5166        16.7       1
36.857143 198.1050        18.9       0
37.000000 186.0104        20.7       0
37.142857 218.2276        20.8       1
37.285714 222.7274        20.7       1
37.428571 222.0213        19.1       1
37.571429 226.7373        17.1       1
37.714286 231.3683        15.9       1
37.857143 196.5834        18.5       0
38.000000 185.0438        20.1       0
38.142857 225.4641        18.0       1
38.285714 235.6982        14.8       1
38.428571 236.1329        16.2       1
38.571429 241.1509        13.7       1
38.714286 230.3640        15.5       1
38.857143 199.8989        16.8       0
39.000000 187.0570        17.2       0
39.142857 217.4684        23.0       1
39.285714 215.1564        25.3       1
39.428571 215.4661        23.5       1
39.571429 217.7978        17.0       1
39.714286 214.7996        19.3       1
39.857143 184.7269        23.3       0
40.000000 177.3159        27.9       0
40.142857 207.7305        22.9       1
40.285714 218.1746        23.8       1
40.428571 224.6942        15.9       1
40.571429 224.9024        17.4       1
40.714286 212.3656        18.1       1
40.857143 183.7487        26.2       0
41.000000 173.5839        19.2       0
41.142857 221.1614        25.0       1
41.285714 216.7209        17.7       1
41.428571 221.2251        18.7       1
41.571429 217.7267        23.1       1
41.714286 213.9397        24.9       1
41.857143 186.2191        21.2       0
42.000000 181.4456        27.5       0
42.142857 222.1222        15.5       1
42.285714 228.7036        16.9       1
42.428571 225.6833        17.1       1
42.571429 224.5799        16.7       1
42.714286 214.5551        18.1       1
42.857143 191.7391        24.2       0
43.000000 183.9389        28.8       0
43.142857 213.2147        20.6       1
43.285714 222.9096        28.2       1
43.428571 233.0016        31.1       1
43.571429 224.6348        22.7       1
43.714286 227.9454        30.4       1
43.857143 193.2198        19.8       0
44.000000 182.9607        24.5       0
44.142857 212.9383        22.5       1
44.285714 220.9596        19.7       1
44.428571 218.7275        22.5       1
44.571429 218.7459        21.8       1
44.714286 226.7615        32.7       1
44.857143 187.8364        20.3       0
45.000000 186.3019        16.6       0
45.142857 200.5634        23.3       1
45.285714 186.9384        28.9       0
45.428571 206.6377        17.8       1
45.571429 211.9857        23.5       1
45.714286 227.2132        32.8       1
45.857143 205.4283        34.6       0
46.000000 176.0597        19.4       0
46.142857 211.9239        20.2       1
46.285714 215.3201        18.8       1
46.428571 222.2635        24.3       1
46.571429 239.6066        30.6       1
46.714286 223.6820        27.7       1
46.857143 189.5637        18.0       0
47.000000 182.0131        18.1       0
47.142857 208.3546        20.1       1
47.285714 211.8105        20.9       1
47.428571 217.4702        29.6       1
47.571429 228.7774        28.1       1
47.714286 215.2890        23.0       1
47.857143 196.0592        30.8       0
48.000000 187.2593        25.0       0
48.142857 222.5512        19.6       1
48.285714 213.9397        21.8       1
48.428571 218.0656        18.7       1
48.571429 214.9400        19.4       1
48.714286 212.5017        20.5       1
48.857143 193.7848        24.3       0
49.000000 213.2383        34.1       0
49.142857 242.4983        29.0       1
49.285714 232.7346        26.0       1
49.428571 228.0617        23.5       1
49.571429 235.9962        26.4       1
49.714286 224.0923        21.2       1
49.857143 192.1555        22.5       0
50.000000 185.8437        17.7       0
50.142857 216.0966        21.2       1
50.285714 217.0111        20.8       1
50.428571 219.8595        21.1       1
50.571429 215.7580        21.4       1
50.714286 219.1628        27.4       1
50.857143 209.4520        31.2       0
51.000000 196.8496        25.9       0
51.142857 228.2496        23.4       1
51.285714 231.0967        32.1       1
51.428571 214.1462        22.3       1
51.571429 216.3581        24.0       1
51.714286 206.0286        19.9       1
51.857143 189.0453        23.0       0
52.000000 204.0398        33.3       0
52.142857 230.4448        24.7       1
52.285714 219.4981        26.7       1
52.428571 192.9426        22.2       1
52.571429 166.6984        23.4       0
52.714286 166.8567        20.1       0
52.857143 173.7280        22.2       0
53.000000 188.5128        31.2       0
